Message/Tweets,Match,Polarity
 WhiteBeefalo87 Exactly vitamin D3 in the winter is also a good thing ,"['vitamin', 'good']",positive
RT fila korea Be confident on this street FILA ON THE STREET 2020 FILA Winter Collection ,['confident'],positive
RT DrDenaGrayson I KEEP SCREAMING FROM THE ROOFTOPS The coronavirus pandemic is spiraling completely out of control courtesy of Trum ,"['screaming', 'courtesy']",neutral
RT JustinTrudeau Can you save Boston s life There are two ways you can help If you re half Caucasian and half Filipino please reach ou ,"['save', 'help', 'please', 'reach']",positive
 cheer snowman3 3OK Snow Man 12 4ZERO2020 The Movie 13 13 ,['cheer'],positive
RT FroggyBottomPnd Winter Weather Advisory Deluge of snowflakes expected to cover DC on Saturday Fair BidenCalm skies to return on Sun ,['fair'],positive
RT kevinpbreslin Oh gosh No EU deal No Canada deal No Australia deal No New Zealand deal No United States deal No India deal ,"['no', 'united']",neutral
 Kmalbanese Fair But he was the first one that came to mind I m out storm coming But I appreciate the opportunity to explain why this matters to me Good luck to you Mask up ,"['fair', 'appreciate', 'opportunity', 'matters', 'good', 'luck']",positive
RT WishToTheWin You are bringing out a different kind of me There s no safety net that s underneath I m free Falling all in you ,"['kind', 'no', 'safety', 'free', 'falling']",positive
RT weathernetwork What s that one quote Life is better in the mountains ShareYourWeather FeelGoodFriday FridayFeels,['better'],positive
RT CTVAtlantic ICYMI The Mi kmaq chief behind a blockbuster deal to buy Atlantic Canada s largest seafood firm says it will create wealt ,['blockbuster'],positive
RT davidsting414 I can t understand why most of the people will defending this video Yes this is still legal amp happening around the worl ,"['yes', 'legal']",positive
 cheer snowman2 2OK I love Snow Man D D Snow Man 13 13 ZERO2020 The Movie,"['cheer', 'love']",positive
RT ponycide I think donations are dropping because of the level of likes and retweets on this post but I m still a ways out of the safe z ,"['likes', 'safe']",positive
RT Hungry Paws Special Private Dance 3 Sorry for the repost twitter keeps cropping it xD Commission for Storm TahoeHoss ,['sorry'],neutral
RT maddcanada ThankYouThursday A special thank you to all our wonderful School Presentation sponsors helping us deliver the sober drivin ,"['thank', 'wonderful', 'helping']",positive
RT americanrails Thank you veterans UnionPacific SD40 2 3593 Desert Victory is displayed outside the RR s North Little Rock ,['thank'],positive
Imo moving deadlines won t necessarily help students but will only prolong their agony Safety should be prioritized so we are calling for Academic EASE Lighter workload for students and teachers alike Safety and survival are the priority not whether you finished your module ,"['won', 'help', 'safety', 'ease']",positive
RT scarfizal The man they call failure is equipping our Air Force even when we don t have petro dollars flowing in like in the days of Kl ,"['failure', 'like']",neutral
praying for everyone s safety stay safe po ,"['praying', 'safety', 'safe']",positive
 DeanBrowningPA Ticketmaster has been working on a framework for post pandemic fan safety that uses smart phones to verify fans vaccination status or whether they ve tested negative for the coronavirus within a 24 to 72 hour window Oh wow you have to prove you might not be sick Lol,"['fan', 'safety', 'smart', 'negative', 'wow', 'sick', 'lol']",positive
RT Truthseeker126 Keep voting Democrat you stupid liberals F this ,['stupid'],negative
RT For Famp ICAO Safety amp security ,['safety'],neutral
RT scrowder Hitler smiling up at Cuomo right now ,['smiling'],positive
RT philredcross RedCross volunteers and staff are still on flood affected areas assisting people and bringing them to safety through our ,"['affected', 'safety']",neutral
