Term,Canada
Canada appeared in 60 documents,Total Words(m),Frequency(f),Relative frequency(f/m)
 2 <TITLE>DOLLAR EXPECTED TO FALL DESPITE INTERVENTION</TITLE> <AUTHOR> By Claire Miller Reuters</AUTHOR> <DATELINE> NEW YORK March 24 </DATELINE><BODY>Central bank intervention in the foreign exchange markets succeeded in staunching the dollar s losses today but senior dealers here believe the U S currency is headed for a further retreat Although the intervention was widespread dealers perceive that the six major industrial nations have differing levels of commitment to their recent accord to stabilize currencies Moreover hard economic realities hold greater sway over the currency market than central bank intervention and these argue for a further dollar decline dealers said The market can be bigger than the central banks And economic fundamentals will always come to the fore said a dealer at one major U S bank As the dollar dropped to post World War II lows against the yen today foreign exchange traders said the Bank of Japan Federal Reserve Board and Bank of England intervened in the markets on behalf of the U S currency Reports of the authorities actions helped the dollar recover to about 149 45 yen in New York this afternoon from the post war low of 148 20 yen in the Far East But it still failed to regain Monday s U S closing level of 150 00/05 yen Tokyo dealers said the Bank of Japan bought one to 1 5 billion dlrs in Tokyo today and may also have purchased dollars yesterday in the U S via the Federal Reserve Meanwhile there were strong rumors in New York that the Fed also bought a modest amount of dollars around 148 50 yen today Talk also circulated that the Bank of England purchased a small amount of dollars for yen The Fed s last confirmed intervention was on January 28 when it bought 50 mln dlrs in coordination with the Bank of Japan But on March 11 the Fed also was rumored to have signalled displeasure with a dollar surge above 1 87 marks The authorities actions appeared to back up the February 22 Paris pact between the U S Japan West Germany Britain France and Canada under which the nations agreed to cooperate to foster exchange rate stability around prevailing levels But foreign exchange dealers were not overly impressed by the authorities intervention which they said can only soften extreme moves in the market For one thing some dealers believed that the Fed s purchases were done on behalf of the Bank of Japan rather than for the U S central bank s own account suggesting a rather watered down American commitment to the currency accord The Bank of England s action also was thought to be completed on behalf of the Japanese central bank reinforcing the market s view that Japan is the most resolute of the six nations in its support of the currency pact No one doubts the Bank of Japan is serious But the other two central banks seem to be making more token gestures than anything else said Chris Bourdain of BankAmerica Corp I m not convinced the intervention was concerted said Earl Johnson of Harris Trust and Savings Bank in Chicago It s a yen problem more than anything else Some dealers said a rising wave of trade protectionist sentiment in the U S limits the extent to which the American authorities can endorse a stronger dollar against the yen The dollar s break below the key 150 yen level ties the Treasury s hands behind its back The U S cannot intervene on its own account because of the strength of protectionism here said Albert Soria of Swiss Bank Corp Such comments reflect the view that the currency markets are becoming increasingly politicized Despite official denials some traders still feel the U S would countenance a lower dollar to help trim the nation s trade deficit The majority of the 170 billion dlr merchandise trade deficit in 1986 was with Japan Indeed U S Treasury secretary James Baker s comment on Sunday that the February currency pact had not established dollar targets was read by the market as a signal to sell the U S currency and kicked off the latest retreat The dollar still has more room on the downside against the yen based on the frictions in trade and financial services The currency market is becoming very political said Natsuo Okada of Sumitomo Bank Ltd Okada expects the dollar to trade between 148 and 150 yen this week but sees the chance of a drop to 140 yen by the end of April or early May Even if West Germany and Japan succeed in stimulating their economies it may not be enough to solve structural economic imbalances in the near future dealers said Even if Japan and West Germany do expand this year it won t be enough to help the trade situation much said Bourdain of BankAmerica who also expects the dollar to drop to 148 yen in the next couple of days Reuter 3 </BODY>,832,1,0.001201923076923077
 2 <TITLE>U S SENATORS SEEK TO EXPAND USDA EXPORT BONUS</TITLE> <DATELINE> WASHINGTON March 24 </DATELINE><BODY>Leading U S farm state senators are seeking to insert into the Senate s omnibus trade bill a provision that would broaden eligibility requirements under the U S Agriculture Department s export enhancement program EEP to include traditional buyers of U S farm products including the Soviet Union Senate staff said Under existing criteria USDA can offer EEP subsidies to recoup export markets lost to competing nations unfair trading practices Senate Agriculture Committee Chairman Patrick Leahy D Vt is leading a group of farm state senators in an effort to broaden the criteria in such a way as to enable Moscow to be eligible for the subsidies sources said The senators including Senate Finance Committee Chairman Lloyd Bentsen D Tex Max Baucus D Mont David Pryor D Ark John Melcher D Mont and Thad Cochran R Miss also may fold into the trade bill a measure to shield pork producers and processors from Canadian imports The measure sponsored by Sen Charles Grassley R Iowa would clarify the definition of industry in determining whether or not imports were causing injury to U S producers Grassley s bill stems from a 1985 decision by the International Trade Commission that imports from Canada of live swine but not fresh chilled and frozen pork were harming U S producers The bill s proponents have argued Canada has simply replaced shipments of live hogs with fresh pork Reuter 3 </BODY>,250,2,0.008
 2 <TITLE>FED S JOHNSON SAYS FED ACTED TO STABILIZE DOLLAR</TITLE> <DATELINE> WASHINGTON March 24 </DATELINE><BODY>Federal Reserve Board Vice Chairman Manuel Johnson said the dollar has stabilized against other currencies after action taken by the Fed We have taken the appropriate action and the dollar has stabilized Johnson said after testifying to a House Banking subcommittee He did not elaborate on the nature of the action nor when it was taken but said that it was in the spirit of the agreement reached by six industrial nations in Paris recently Johnson said the dollar s decline against other currencies such as the Japanese yen has been gradual Since the accord by the United States Britain West Germany Japan France and Canada foreign exchange markets have been closely watching for indications of intervention by central banks to determine the committment by those nations to their agreement The nations agreed that currency exchange rates were at about the correct levels when the pact was signed earlier this year Reuter 3 </BODY>,169,1,0.005917159763313609
 2 <TITLE>CANADA VOWS TO FIGHT U S POTASH ACTION</TITLE> <AUTHOR> By Russell Blinch Reuters</AUTHOR> <DATELINE> OTTAWA March 24 </DATELINE><BODY>External Affairs Minister Joe Clark today vowed to do everything possible to fight the U S action against Canadian potash exports but also warned against raising the alarm too early in the dispute In the latest flashpoint in Canadian U S trade relations the U S International Trade Commission ruled unanimously Monday that Canadian potash shipments valued at 270 million U S dlrs last year were injuring the U S industry We certainly intend to do everything we can to insure that Canadian interests are well protected Clark told the House of Commons in the daily question period But he said the opposition parties should be careful not to raise false alarms too early The case now goes before the U S Commerce Department s trade division to determine if a duty should be imposed Potash producers from New Mexico claiming unfair government subsidies are seeking a 43 pct tariff on Canada s shipments Canada the world s largest potash producer exported 9 8 mln metric tonnes of potash last year with nearly a third going to the U S Most of the potash used in the production of fertilizer comes from provincially owned mines in Saskatchewan In the Commons Liberal member Lloyd Axworthy branded the ruling as just another trade harrassment from the U S and criticized Clark s assurances the country s interests would be protected We received exactly the same kind of assurances in the softwood lumber case that was totally fumbled and bumbled Axworthy said Canada s Progressive Conservative government agreed to impose a 15 pct duty on its softwood lumber exports earlier this year to end a long and bitter bilateral trade dispute with the U S Axworthy urged the government to present Canada s case to world trade authorities under the General Agreement on Tariffs and Trade But Clark maintained the potash dispute was another example of why Canada needs to find a new way to settle bilateral irritants in the free trade negotiations under way with the U S What we are seeking to do is put in place a better system Clark said Meanwhile Saskatchewan Trade Minister Bob Andrew expressed confidence Canada would win its case claiming the problem stems from low international commodity prices and not government subsidies The reality of the problem and the injury is caused worldwide he said It s caused by a downturn in the commodity price for fertilizer whether it s potash fertilizer nitrogen fertilizer or whatever Reuter 3 </BODY>,433,7,0.016166281755196306
 2 <TITLE>CANADA ENERGY MINISTER TO MAKE STATEMENT</TITLE> <DATELINE> OTTAWA March 24 </DATELINE><BODY>Canadian Energy Minister Marcel Masse will hold a news conference at noon est Wednesday following a meeting with his Alberta counterpart Neil Webber his office announced Published reports in Canada quoting government sources said Masse will announce a major aid package for the province s struggling energy industry An unidentified Alberta member of Parliament said the plan will include drilling incentives and tax measures Reuter 3 </BODY>,79,2,0.02531645569620253
 2 <TITLE>EXCHANGE RATES ALMOST WITHIN G 6 LEVELS SUMITA</TITLE> <DATELINE> TOKYO March 25 </DATELINE><BODY>Bank of Japan governor Satoshi Sumita said that current exchange rates are almost within the levels agreed to by six major nations last month in Paris Asked whether a dollar/yen rate of 148 or 149 reflected economic fundamentals he said current rates almost reflect fundamentals Sumita told reporters major nations have cooperated to bring about currency stability in line with the Paris agreement which stipulated that they would closely cooperate to that end He repeated the central bank will intervene if necessary adding he did not think a dollar free fall was likely But Sumita said he could not say exactly what currency levels would be considered in line with underlying economic fundamentals In Paris on February 22 Britain Canada France Japan the U S And West Germany agreed to cooperate to hold currencies around their then current levels Sumita said he could not find any specific reasons behind the fall of the dollar to a record low against the yen yesterday But he said the market rushed to sell dollars as it nervously reacted to statements abroad and to developments surrounding trade tensions U S Treasury Secretary James Baker said over the weekend that the Paris pact did not encompass fixed tragets for the dollar U S Trade Representative Clayton Yeutter called U S/Japan relations on certain key trade issues very strained The market reacted nervously because the dollar has been moving narrowly against the yen since mid January Sumita said He added he does not expect the yen/dollar exchange rate to remain unstable because the market is concerned about a sharp rise of the yen The Bank of Japan will keep a close watch on exchange rates in line with the Paris accord he added REUTER 3 </BODY>,304,1,0.003289473684210526
 2 <TITLE>JAPAN DOES NOT INTEND TO CUT DISCOUNT RATE SUMITA</TITLE> <DATELINE> TOKYO March 25 </DATELINE><BODY>Bank of Japan governor Satoshi Sumita said the central bank has no intention of cutting its discount rate again as a way of preventing the yen s rise He told a press conference that the growth of Japanese money supply remains high The bank will have to watch closely various developments resulting from its already eased monetary stance such as the sharp rise in real estate and stock prices he said Although the yen s rise will have a greater deflationary impact on the economy the economy is not likely to slow down much further Sumita said I don t think we should change our economic outlook at the moment Sumita said Sumita has said in the past that he expects the economy to show a gradual upturn in the second half of the year The governor said the six major industrial nations are expected to review last month s pact on currency stability when they meet next in April Dealers said they expect the six Britain Canada France Japan the U S Amd West Germany to meet just before the IMF/World Bank interim committee meeting in Washington starting on April 9 REUTER 3 </BODY>,210,1,0.004761904761904762
 2 <TITLE>JAPAN DOES NOT INTEND TO CUT DISCOUNT RATE SUMITA</TITLE> <DATELINE> TOKYO March 25 </DATELINE><BODY>Bank of Japan governor Satoshi Sumita said the central bank has no intention of cutting its discount rate again as a way of preventing the yen s rise He told a press conference that the growth of Japanese money supply remains high The bank will have to watch closely various developments resulting from its already eased monetary stance such as the sharp rise in real estate and stock prices he said Although the yen s rise will have a greater deflationary impact on the economy the economy is not likely to slow down much further Sumita said I don t think we should change our economic outlook at the moment Sumita said Sumita has said in the past that he expects the economy to show a gradual upturn in the second half of the year The governor said the six major industrial nations are expected to review last month s pact on currency stability when they meet next in April Dealers said they expect the six Britain Canada France Japan the U S Amd West Germany to meet just before the IMF/World Bank interim committee meeting in Washington starting on April 9 REUTER 3 </BODY>,210,1,0.004761904761904762
 2 <TITLE>EXCHANGE RATES ALMOST WITHIN G 6 LEVELS SUMITA</TITLE> <DATELINE> TOKYO March 25 </DATELINE><BODY>Bank of Japan governor Satoshi Sumita said that current exchange rates are almost within the levels agreed to by six major nations last month in Paris Asked whether a dollar/yen rate of 148 or 149 reflected economic fundamentals he said current rates almost reflect fundamentals Sumita told reporters major nations have cooperated to bring about currency stability in line with the Paris agreement which stipulated that they would closely cooperate to that end He repeated the central bank will intervene if necessary adding he did not think a dollar free fall was likely But Sumita said he could not say exactly what currency levels would be considered in line with underlying economic fundamentals In Paris on February 22 Britain Canada France Japan the U S And West Germany agreed to cooperate to hold currencies around their then current levels Sumita said he could not find any specific reasons behind the fall of the dollar to a record low against the yen yesterday But he said the market rushed to sell dollars as it nervously reacted to statements abroad and to developments surrounding trade tensions U S Treasury Secretary James Baker said over the weekend that the Paris pact did not encompass fixed tragets for the dollar U S Trade Representative Clayton Yeutter called U S/Japan relations on certain key trade issues very strained The market reacted nervously because the dollar has been moving narrowly against the yen since mid January Sumita said He added he does not expect the yen/dollar exchange rate to remain unstable because the market is concerned about a sharp rise of the yen The Bank of Japan will keep a close watch on exchange rates in line with the Paris accord he added REUTER 3 </BODY>,304,1,0.003289473684210526
 2 <TITLE>METRO CABLE lt METO> TO SELL PARTNERSHIP</TITLE> <DATELINE> ENGLEWOOD Colo March 25 </DATELINE><BODY>Metro Cable Corp said it has entered into a letter of intent for the sale of limited partnership Intermountain Cable Associates for about 3 250 000 dlrs Metro and DMN Cable Investors are co general partners for Intermountain The name of the buyer was not disclosed Metro said it has also transfered its northwest Iowa and eastern Colorado cablevision systems into a new wholly owned subsidiary called MCC Cablevision Metro said the new unit received 2 700 000 dlrs in financing from Bank of Boston Corp lt BKB> which was used to retire Metro Cable s outstanding debt to lt National Bank of Canada> and for working capital Reuter 3 </BODY>,125,1,0.008
